"id","url","date","planning_application_id","local_authority_id"
"16/00923/OUT","http://plandocs.derbyshiredales.gov.uk/NorthgatePublicDocs/00119472.pdf","2017-06-08","16/00923/OUT","local-authority-eng:DEB"
"P/2018/2168","https://planning2.hounslow.gov.uk/NPSPublicDocs/00607735.pdf","2018-10-08","00297/R/P15","local-authority-eng:HNS"
"W/17/1701","https://estates4.warwickdc.gov.uk/cmis/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=IKmfURU6gFULalfjPBrtTevrbLLxfE06JNFu3UUReNt2cZL5G9jRPQ%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSFfXsDGW9IXnlg%3d%3d=hFflUdN3100%3d&kCx1AnS9%2fpWZQ40DXFvdEw%3d%3d=hFflUdN3100%3d&uJovDxwdjMPoYv%2bAJvYtyA%3d%3d=ctNJFf55vVA%3d&FgPlIEJYlotS%2bYGoBi5olA%3d%3d=NHdURQburHA%3d&d9Qjj0ag1Pd993jsyOJqFvmyB7X0CSQK=ctNJFf55vVA%3d&WGewmoAfeNR9xqBux0r1Q8Za60lavYmz=ctNJFf55vVA%3d&WGewmoAfeNQ16B2MHuCpMRKZMwaG1PaO=ctNJFf55vVA%3d","2017-11-08","W/17/1701","local-authority-eng:WAW"
