"reference","url","local_authority_id","section106_signed_date","section106_url"
"00297/R/P15","https://planning.hounslow.gov.uk/planning_summary.aspx?strWeekListType=SRCH&strAltNo=00297/R/P15&strLimit=50","local-authority-eng:HNS",,
"16/00923/OUT","https://planning.derbyshiredales.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIBIUTFUJZC00","local-authority-eng:DEB",,
"W/17/1701","https://planningdocuments.warwickdc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WARWI_DCAPR_79386","local-authority-eng:WAW",,
